"","X","ResponseId","Q141_First.Click","label2_1","label3_1","severe","likelihood1","likelihood2","likelihood3","likelihood4","adjustMyTreatment1","adjustMyTreatment2","adjustMyTreatment3","adjustMyTreatment4","concernsOpen","moveForwardOpen","label1_2","label2_2","label3_2","ladderDave","insurance_Patient","incomeDave","ed_Patient","manipulationCheck","healthLit_Patient","perspective1","perspective2","perspective3","perspective4","perspective5","perspective6","age_Self","gender_Self","gender_5_TEXT","race_Self","race_6_TEXT","race_7_TEXT","ladder_Self","income_Self","incomeYouth","ed_Own","ed_Dad","ed_Mom","politics_Self","telemed","patient","conditionRace","conditionSES","likelihood2Recode","likelihood3Recode","bias","raceFactor","incomeFactor","edParent","treatRecode1_1","treatRecode2_1","treatRecode1_2","treatRecode2_2","strike","treat1","treat2","treatSum","treatAvg","treatmentWhy","initiative","exaggerate","honest","clearer","givingUp","lazy","motivated","healthImproves","attributions","zScoreIncome","zScoreEd","objectiveSES","zScoreIncomeDave","zScoreEdDave","objectiveSESDave","adjust","perspective","study","Duration..in.seconds.","Finished","RecordedDate","patientId_1","feelingTherm_1_1","feelingTherm_1_2","feelingTherm_1_3","feelingTherm_1_4","feelingTherm_1_5","feelingTherm_1_6","feelingTherm_1_7","feelingTherm_1_8","feelingTherm_1_9","feelingTherm_1_10","feelingTherm_1_11","therm_1","therm_2","therm_3","therm_4","therm_5","therm_6","therm_7","therm_8","therm_9","therm_10","therm_11","feelingTherm","ladder_Patient","income_Patient","idRecall_1","idRecall_2","idRecall_3","load_Effort_1","load_Difficulty_1","gender_Self_5_TEXT","race_Self_6_TEXT","race_Self_7_TEXT","income_Youth","Patient2Name","Condition","Patient2","aid","cogLoad","loadCondition","incapable","deserve","difficult","busy","intelligent","notes","loadSum","loadMean","manipulationCheck_m","manipulationCheck_f","Gender","SES","jobTitle","jobTitle_6_TEXT","specialtyField","ladder_Childhood","politics_Own","yearsWork_1","specialty","jobTitle.1","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingDegree","trainingWhere","trainingWhere_US","trainingWhere_notUS","ref","Race"
"304",304,"R_1Ogt4TdRlTDh2YF",4.239,"lower back","pain",3,3,4,3,3,2,2,2,2,"My biggest concern would be how to ensure that Dave is following the treatment plan and how to be up to date with his recovery process. ","I would ask him what ideas he would implement to ensure that he will follow through with the treatment plan. We would come up with actionable items together to help him remind him to take his medication. ","disorganized","lacking motivation","forgetful",6,3,4,2,"Dave",2,2,2,2,4,2,4,19,"Female","",2,"","",8,6,6,3,4,4,1,3,"Black High SES","Black","High SES",2,3,5,"Asian/Asian American","$100,001 - $150,000",4,2,2,3,3,2,3,4,6,3,"Since the previous pain medication did not work, I would recommend using something stronger to see if it would help alleviate the pain. ",5,2,5,3,2,4,2,5,2,0.827408748689462,0.946280590715452,1.77368933940491,-0.0701440220741951,-0.917642386211743,-0.987786408285938,3.25,3.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",305,"R_22CUFrIAW8jdDfg",0,"Young","Small",4,3,4,2,3,4,4,1,1,"His ability to get access to anything I may prescribe or to perform any activities I may suggest. Also making sure I don't do anything to make it worse","Tell him there's nothing more I can do until he starts trying my recommendations","Unmotivated","Lazy","Careless",4,2,3,2,"Dave",3,2,3,2,3,3,2,20,"Female","",1,"","",6,7,7,2,3,3,3,3,"White Low SES","White","Low SES",2,4,6,"White/Caucasian","greater than $150,000",3,1,1,1,1,1,7,8,2,1,"I don't think it would be wise to prescribe anything more serious without trying a simpler solution first",4,3,4,1,1,3,3,5,4,1.27652414463781,-0.967786967777167,0.308737176860646,-0.816476416943629,-0.917642386211743,-1.73411880315537,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",306,"R_22CUFrIAW8jdDfg",0,"Young","Small",4,3,4,2,3,4,4,1,1,"His ability to get access to anything I may prescribe or to perform any activities I may suggest. Also making sure I don't do anything to make it worse","Tell him there's nothing more I can do until he starts trying my recommendations","Unmotivated","Lazy","Careless",4,2,3,2,"Dave",3,2,3,2,3,3,2,20,"Female","",1,"","",6,7,7,2,3,3,3,3,"White Low SES","White","Low SES",2,4,6,"White/Caucasian","greater than $150,000",3,1,1,1,1,2,7,8,2,1,"Because he never tried this treatment originally so it still might be the best solution",5,3,3,1,2,4,2,5,2,1.27652414463781,-0.967786967777167,0.308737176860646,-0.816476416943629,-0.917642386211743,-1.73411880315537,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",307,"R_afxWj7zEtGSqiI1",0,"middle aged","desk job",3,2,4,2,3,4,3,2,4,"Following medical advise
","Ask another doctor","forgetful","doesn't follow instructions","needs a lot of follow ups",8,1,4,3,"Dave",2,3,3,3,3,3,3,19,"Female","",6,"middle eastern","",5,3,3,3,3,3,3,2,"White High SES","White","High SES",2,4,6,"Multiracial","$30,001 - $50,000",3,2,1,2,1,1,6,8,3,1.5,"I think there are other things besides pain medications that can help. Pain medication doesn't treat the problem it just takes away the pain",4,3,5,4,3,3,2,5,5,-0.519937439155591,0.946280590715452,0.426343151559861,-0.0701440220741951,0.600432672459535,0.53028865038534,2.75,2.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",308,"R_afxWj7zEtGSqiI1",0,"middle aged","desk job",3,2,4,2,3,4,3,2,4,"Following medical advise
","Ask another doctor","forgetful","doesn't follow instructions","needs a lot of follow ups",8,1,4,3,"Dave",2,3,3,3,3,3,3,19,"Female","",6,"middle eastern","",5,3,3,3,3,3,3,2,"White High SES","White","High SES",2,4,6,"Multiracial","$30,001 - $50,000",3,2,1,2,1,2,5,7,3,1.5,"Bc his pain didn't change
",5,3,3,2,2,3,2,5,4,-0.519937439155591,0.946280590715452,0.426343151559861,-0.0701440220741951,0.600432672459535,0.53028865038534,2.75,2.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",309,"R_3QXj3sRUU6nHO8j",0,"tall","back",4,4,3,3,3,5,2,2,3,"His age, and if surgery is needed when would be the best time and what treatment would be the best for his general health. ","creating a schedule or finding alternatives to remind him to have his medicine","irresponsible ","pain","medicine",4,4,3,2,"Dave",4,2,2,2,4,2,4,20,"Female","",2,"","",6,5,5,2,1,2,4,3,"Black Low SES","Black","Low SES",3,3,6,"Asian/Asian American","$75,001 - $100,000",1.5,3,2,3,3,1,3,5,5,2.5,"Don't think surgery should ever be the first option, but the opioids could be used.  ",5,1,4,4,1,2,2,5,4,0.378293352741111,-0.967786967777167,-0.589493615036056,-0.816476416943629,-0.917642386211743,-1.73411880315537,3.25,3.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",310,"R_3QXj3sRUU6nHO8j",0,"tall","back",4,4,3,3,3,5,2,2,3,"His age, and if surgery is needed when would be the best time and what treatment would be the best for his general health. ","creating a schedule or finding alternatives to remind him to have his medicine","irresponsible ","pain","medicine",4,4,3,2,"Dave",4,2,2,2,4,2,4,20,"Female","",2,"","",6,5,5,2,1,2,4,3,"Black Low SES","Black","Low SES",3,3,6,"Asian/Asian American","$75,001 - $100,000",1.5,3,2,3,3,2,3,4,6,3,"Because pain was not relieved through weak opioid, so both recommendations are strong opioids. ",5,1,3,1,1,4,1,5,1,0.378293352741111,-0.967786967777167,-0.589493615036056,-0.816476416943629,-0.917642386211743,-1.73411880315537,3.25,3.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",311,"R_3s0tMZO5LQJnMZM",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",312,"R_3s0tMZO5LQJnMZM",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White High SES","White","High SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",313,"R_3sc3hpzK9lBnPWj",0,"Male","Well-dressed",3,3,3,3,3,5,4,4,4,"If he will listen to the advice that I give him. ","I would try and push the medication one more time. If it does not work, I might try and look for other alternatives to medicine","White","Male","lazy",6,2,5,3,"Dave",2,2,1,2,3,1,4,20,"Male","",2,"","",7,1,NA,3,3,3,4,4,"White High SES","White","High SES",3,3,6,"Asian/Asian American","less than $15,000",3,1,1,1,1,1,7,8,2,1,"I would not want to introduce opioids into someone's system if it is not needed. He described the pain as a sharp, but it may go away with mild medication",4,3,4,2,1,3,3,5,5,-1.41816823105229,0.946280590715452,-0.471887640336841,0.676188372795239,0.600432672459535,1.27662104525477,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",314,"R_3sc3hpzK9lBnPWj",0,"Male","Well-dressed",3,3,3,3,3,5,4,4,4,"If he will listen to the advice that I give him. ","I would try and push the medication one more time. If it does not work, I might try and look for other alternatives to medicine","White","Male","lazy",6,2,5,3,"Dave",2,2,1,2,3,1,4,20,"Male","",2,"","",7,1,NA,3,3,3,4,4,"White High SES","White","High SES",3,3,6,"Asian/Asian American","less than $15,000",3,1,1,1,1,2,7,8,2,1,"He didn't take the medications, why would I give him something strong if he refuses to listen.",4,3,2,1,1,4,2,5,2,-1.41816823105229,0.946280590715452,-0.471887640336841,0.676188372795239,0.600432672459535,1.27662104525477,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",315,"R_2346wQZjipuN2kz",0,"Male","hunched",2,4,4,4,4,2,3,2,3,"Past surgeries, past complications","Move to an in-person treatment or ask for more information. The information given is not enough to make decisions.","Priority","Problem","Motive",4,2,4,2,"Dave",3,2,3,2,4,3,4,19,"Male","",2,"","",7,7,7,2,4,4,4,4,"Black High SES","Black","High SES",2,2,4,"Asian/Asian American","greater than $150,000",4,1,1,2,1,1,7,8,2,1,"Back pain can be from something as simple as poor posture or a pulled muscle. Without more information or tests, it would be irresponsible to administer even weak opiates right away.",4,2,4,4,1,3,3,5,5,1.27652414463781,-0.967786967777167,0.308737176860646,-0.0701440220741951,-0.917642386211743,-0.987786408285938,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",316,"R_2346wQZjipuN2kz",0,"Male","hunched",2,4,4,4,4,2,3,2,3,"Past surgeries, past complications","Move to an in-person treatment or ask for more information. The information given is not enough to make decisions.","Priority","Problem","Motive",4,2,4,2,"Dave",3,2,3,2,4,3,4,19,"Male","",2,"","",7,7,7,2,4,4,4,4,"Black High SES","Black","High SES",2,2,4,"Asian/Asian American","greater than $150,000",4,1,1,2,1,2,5,8,3,1.5,"Maintain an option that is over the lowest tier in case the follow up visit motivates him to care for his health more. Give a slightly stronger medication that will not have complications to assure him the process of pain relief will be quick.",5,3,3,4,1,3,3,5,2,1.27652414463781,-0.967786967777167,0.308737176860646,-0.0701440220741951,-0.917642386211743,-0.987786408285938,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",317,"R_1g5tgoxV6hbzY9G",0,"How did he hurt his shoulder?","Who is his family?",3,3,3,4,2,3,3,3,3,"How able is he to complete rehabilitation time-wise and ability wise","Tell him it is required to try if he wants to get healthier. ","Comes to the doctor but does not follow recommendations ","Busy","No initiative with health",5,3,4,3,"Dave",4,2,2,2,2,4,4,20,"Female","",1,"","",10,7,7,2,4,3,5,4,"Black High SES","Black","High SES",3,2,5,"White/Caucasian","greater than $150,000",3.5,1,1,2,2,1,7,8,2,1,"He did not specify how painful and I do not know what the specific injury is. ",4,3,3,4,2,4,2,4,3,1.27652414463781,-0.967786967777167,0.308737176860646,-0.0701440220741951,0.600432672459535,0.53028865038534,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",318,"R_1g5tgoxV6hbzY9G",0,"How did he hurt his shoulder?","Who is his family?",3,3,3,4,2,3,3,3,3,"How able is he to complete rehabilitation time-wise and ability wise","Tell him it is required to try if he wants to get healthier. ","Comes to the doctor but does not follow recommendations ","Busy","No initiative with health",5,3,4,3,"Dave",4,2,2,2,2,4,4,20,"Female","",1,"","",10,7,7,2,4,3,5,4,"Black High SES","Black","High SES",3,2,5,"White/Caucasian","greater than $150,000",3.5,1,1,2,2,2,5,6,4,2,"I went up a level slightly because Dave said he was still in pain. Yet since he did not put in the proper time to help his situation I am not going further. ",5,3,4,2,3,4,2,4,2,1.27652414463781,-0.967786967777167,0.308737176860646,-0.0701440220741951,0.600432672459535,0.53028865038534,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",319,"R_yBWbFqRJol1ONqh",3.719,"Male","Old",2,2,4,3,1,4,2,2,4,"How well Dave will cooperate with medical advice","I would recommend Dave see another physician","Ignorant","Unmotivated","Lack selfcare",7,2,5,4,"Dave",2,1,1,1,4,2,4,18,"Female","",2,"","",2,2,NA,2,1,3,1,2,"White High SES","White","High SES",2,3,5,"Asian/Asian American","$15,000 - $30,000",2,1,1,1,1,1,7,8,2,1,"Dave complained of pain in lower back, to relieve this tier 1 treatment would be preferred.",4,3,4,2,2,3,2,4,2,-0.969052835103942,-0.967786967777167,-1.93683980288111,0.676188372795239,2.11850773113081,2.79469610392605,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",320,"R_yBWbFqRJol1ONqh",3.719,"Male","Old",2,2,4,3,1,4,2,2,4,"How well Dave will cooperate with medical advice","I would recommend Dave see another physician","Ignorant","Unmotivated","Lack selfcare",7,2,5,4,"Dave",2,1,1,1,4,2,4,18,"Female","",2,"","",2,2,NA,2,1,3,1,2,"White High SES","White","High SES",2,3,5,"Asian/Asian American","$15,000 - $30,000",2,1,1,1,1,2,7,8,2,1,"Dave has not tried previous treatment so I would prescribe the same to hope that he gets the proper treatment without overtreating his concern.",5,2,4,2,2,4,2,5,2,-0.969052835103942,-0.967786967777167,-1.93683980288111,0.676188372795239,2.11850773113081,2.79469610392605,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",321,"R_uw85UqIkPeMhFGV",0,"working class","scruffy",4,2,3,3,4,4,5,2,3,"whether he has insurance or not, lifestyle (what job he works, living situation, etc), overall health holistically (is he eating well, working out, smoking, getting his mental health checked up on, socializing, etc), money","Creating a detailed plan that tells him exactly when he needs to be taking the Lidocane or applying the topical cream. Telling him that the only way it will get better is if he tries his best to take one small step toward his health everyday. ","white man","working class","scruffy",4,2,3,2,"Dave",2,4,4,4,1,4,2,22,"Female","",1,"","",7,7,7,3,4,4,2,1,"White Low SES","White","Low SES",3,3,6,"White/Caucasian","greater than $150,000",4,1,1,1,1,1,7,8,2,1,"I chose the first two because I want to avoid putting anyone on opioids if I can. I'd like to know more about his pain and its source before even thinking of prescribing him with an opioid. Worst comes to worst, we can try the non-opioid treatment options first and move on to an opioid solution if it is dire. ",4,3,4,2,1,3,4,5,5,1.27652414463781,0.946280590715452,2.22280473535326,-0.816476416943629,-0.917642386211743,-1.73411880315537,2.5,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",322,"R_uw85UqIkPeMhFGV",0,"working class","scruffy",4,2,3,3,4,4,5,2,3,"whether he has insurance or not, lifestyle (what job he works, living situation, etc), overall health holistically (is he eating well, working out, smoking, getting his mental health checked up on, socializing, etc), money","Creating a detailed plan that tells him exactly when he needs to be taking the Lidocane or applying the topical cream. Telling him that the only way it will get better is if he tries his best to take one small step toward his health everyday. ","white man","working class","scruffy",4,2,3,2,"Dave",2,4,4,4,1,4,2,22,"Female","",1,"","",7,7,7,3,4,4,2,1,"White Low SES","White","Low SES",3,3,6,"White/Caucasian","greater than $150,000",4,1,1,1,1,2,7,8,2,1,"I would still encourage him to try these options. Because he did not follow my directions last time, I will not immediately give him stronger medications because we did not even get the chance to see if the Tier 1 solutions were a good fit. I'm sticking with the same course of action but I would place a stronger emphasis on actually trying the treatment.",5,3,4,2,4,4,2,5,2,1.27652414463781,0.946280590715452,2.22280473535326,-0.816476416943629,-0.917642386211743,-1.73411880315537,2.5,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",323,"R_2b2e059UBgi3d16",2.428,"well dressed","man",4,4,3,5,3,3,4,4,2,"getting him the best care possible ","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White Low SES","White","Low SES",3,1,4,NA,NA,NA,1,1,1,1,1,7,8,2,1,"because his pain isn’t super severe and don’t want to jump to extensive treatment",2,1,5,4,1,1,4,5,5,NA,NA,NA,NA,NA,NA,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",324,"R_2b2e059UBgi3d16",2.428,"well dressed","man",4,4,3,5,3,3,4,4,2,"getting him the best care possible ","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White Low SES","White","Low SES",3,1,4,NA,NA,NA,1,1,1,1,2,7,8,2,1,"he hasn’t tried them yet so when he does then we can up the strength if needed opioids can be addictive should only use if necessary ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,"R_3JKPcxRMcCoUM1k",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Black Low SES","Black","Low SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",326,"R_3JKPcxRMcCoUM1k",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Black Low SES","Black","Low SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
